"Nr OKW";"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Robert BIEDROŃ";"Krzysztof BOSAK";"Andrzej Sebastian DUDA";"Szymon Franciszek HOŁOWNIA";"Marek JAKUBIAK";"Władysław Marcin KOSINIAK-KAMYSZ";"Mirosław Mariusz PIOTROWSKI";"Paweł Jan TANAJNO";"Rafał Kazimierz TRZASKOWSKI";"Waldemar Włodzimierz WITKOWSKI";"Stanisław Józef ŻÓŁTEK";"Liczba obwodów"
2;"020100";"bolesławiecki";"dolnośląskie";63490;68554;22570;40920;10;239;315;304;17;0;2;1;284;41201;284;7;41194;159;58;101;0;41035;852;2759;17053;6726;52;633;29;50;12732;52;97;63
4;"020200";"dzierżoniowski";"dolnośląskie";73223;78876;27052;46170;41;206;364;353;13;0;4;4;332;46503;332;4;46499;159;56;103;0;46340;1002;2824;20403;6336;55;687;46;82;14770;46;89;83
3;"020300";"głogowski";"dolnośląskie";62325;67357;20428;41897;15;240;273;262;7;0;1;0;254;42144;254;1;42143;124;38;86;0;42019;980;2499;18568;5969;42;736;44;57;13000;42;82;53
1;"020400";"górowski";"dolnośląskie";24915;27089;10382;14532;18;66;124;119;6;0;0;0;113;14643;113;1;14642;40;11;29;0;14602;292;906;7307;1918;21;378;12;14;3722;10;22;23
2;"020500";"jaworski";"dolnośląskie";36471;39708;13321;23150;29;150;273;266;8;0;1;0;257;23406;257;0;23406;92;35;57;0;23314;479;1528;11139;2607;28;717;27;22;6708;15;44;39
2;"020600";"jeleniogórski";"dolnośląskie";46324;51306;15025;31294;37;1618;309;304;8;1;0;0;295;31591;295;0;31591;110;36;74;0;31481;713;1564;9898;5177;50;570;27;46;13331;48;57;53
2;"020700";"kamiennogórski";"dolnośląskie";32001;34163;12029;19974;26;201;131;127;6;0;0;0;121;20094;121;2;20092;86;22;64;0;20006;418;1096;8278;2755;19;349;19;31;6977;20;44;32
4;"020800";"kłodzki";"dolnośląskie";116720;127323;43384;73338;83;2263;783;760;36;3;4;2;716;74042;716;3;74039;246;75;171;0;73793;1548;4240;30301;10238;95;1574;71;120;25372;86;148;137
3;"020900";"legnicki";"dolnośląskie";39085;42292;13298;25786;23;124;184;167;6;0;4;2;155;25938;155;3;25935;102;29;73;0;25833;470;1726;12585;3012;37;583;24;36;7286;27;47;45
2;"021000";"lubański";"dolnośląskie";39486;42803;14506;24980;12;339;191;188;14;1;0;0;173;25153;173;2;25151;97;38;59;0;25054;534;1278;9978;4397;35;471;17;43;8241;26;34;41
3;"021100";"lubiński";"dolnośląskie";75370;80840;24062;51312;26;236;344;312;10;0;0;0;302;51610;302;2;51608;139;64;75;0;51469;1182;3699;24706;6010;102;854;56;72;14616;49;123;75
2;"021200";"lwówecki";"dolnośląskie";33213;36031;13247;19966;33;194;170;167;4;0;3;0;160;20126;160;0;20126;77;24;53;0;20049;470;1073;8349;3135;41;478;35;34;6388;17;29;39
1;"021300";"milicki";"dolnośląskie";26975;28966;9768;17218;11;141;139;132;7;0;0;0;125;17342;125;4;17338;42;15;27;0;17296;329;1026;8346;2138;17;437;16;19;4912;19;37;27
1;"021400";"oleśnicki";"dolnośląskie";75774;82925;25245;50531;13;317;516;497;14;1;3;3;476;51007;476;10;50997;180;61;119;0;50817;1012;3296;20738;8267;79;1087;39;74;16059;61;105;66
1;"021500";"oławski";"dolnośląskie";54438;58842;15689;38754;31;226;305;286;6;3;5;1;271;39026;271;3;39023;119;34;85;0;38904;901;2784;16446;5447;61;701;47;50;12374;30;63;51
3;"021600";"polkowicki";"dolnośląskie";43766;47773;14896;28871;51;174;163;157;8;0;4;0;145;29015;145;1;29014;101;35;66;0;28913;577;2142;15285;3737;49;617;24;46;6356;24;56;43
1;"021700";"strzeliński";"dolnośląskie";32227;35190;10888;21338;19;85;227;223;13;0;0;0;210;21544;210;3;21541;71;16;55;0;21470;381;1119;10819;2604;34;451;11;25;5945;29;52;39
1;"021800";"średzki";"dolnośląskie";38947;42697;12268;26680;12;142;245;198;7;3;0;2;186;26865;186;6;26859;82;17;65;0;26777;465;2124;11913;3166;41;610;32;34;8289;33;70;36
4;"021900";"świdnicki";"dolnośląskie";109664;122236;35261;74408;85;409;675;655;24;5;13;5;608;75006;608;5;75001;238;78;160;0;74763;1659;4772;30175;10191;105;1292;76;102;26132;90;169;107
1;"022000";"trzebnicki";"dolnośląskie";60394;66749;18194;42199;27;253;346;327;11;0;2;1;313;42512;313;4;42508;143;39;104;0;42365;881;2867;18463;5503;70;916;32;77;13428;45;83;60
4;"022100";"wałbrzyski";"dolnośląskie";40594;43648;15226;25368;39;286;246;238;13;1;8;0;221;25582;221;3;25579;84;25;59;0;25495;611;1414;9184;4136;33;467;17;40;9518;15;60;50
1;"022200";"wołowski";"dolnośląskie";34919;37919;12113;22806;13;117;160;159;7;0;2;0;150;22955;150;1;22954;103;26;77;0;22851;486;1489;10543;3007;31;444;25;24;6720;32;50;33
