"Nr OKW";"Kod TERYT";"Powiat";"Województwo";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"% głosów ważnych";"Robert BIEDROŃ";"Krzysztof BOSAK";"Andrzej Sebastian DUDA";"Szymon Franciszek HOŁOWNIA";"Marek JAKUBIAK";"Władysław Marcin KOSINIAK-KAMYSZ";"Mirosław Mariusz PIOTROWSKI";"Paweł Jan TANAJNO";"Rafał Kazimierz TRZASKOWSKI";"Waldemar Włodzimierz WITKOWSKI";"Stanisław Józef ŻÓŁTEK";"Liczba obwodów"
2;"020100";"bolesławiecki";"dolnośląskie";"60,09";"0,39";"36,48";"63,52";"0,00";"99,61";"2,08";"6,72";"41,56";"16,39";"0,13";"1,54";"0,07";"0,12";"31,03";"0,13";"0,24";63
4;"020200";"dzierżoniowski";"dolnośląskie";"58,95";"0,34";"35,22";"64,78";"0,00";"99,66";"2,16";"6,09";"44,03";"13,67";"0,12";"1,48";"0,10";"0,18";"31,87";"0,10";"0,19";83
3;"020300";"głogowski";"dolnośląskie";"62,57";"0,29";"30,65";"69,35";"0,00";"99,71";"2,33";"5,95";"44,19";"14,21";"0,10";"1,75";"0,10";"0,14";"30,94";"0,10";"0,20";53
1;"020400";"górowski";"dolnośląskie";"54,05";"0,27";"27,50";"72,50";"0,00";"99,73";"2,00";"6,20";"50,04";"13,14";"0,14";"2,59";"0,08";"0,10";"25,49";"0,07";"0,15";23
2;"020500";"jaworski";"dolnośląskie";"58,95";"0,39";"38,04";"61,96";"0,00";"99,61";"2,05";"6,55";"47,78";"11,18";"0,12";"3,08";"0,12";"0,09";"28,77";"0,06";"0,19";39
2;"020600";"jeleniogórski";"dolnośląskie";"61,57";"0,35";"32,73";"67,27";"0,00";"99,65";"2,26";"4,97";"31,44";"16,44";"0,16";"1,81";"0,09";"0,15";"42,35";"0,15";"0,18";53
2;"020700";"kamiennogórski";"dolnośląskie";"58,81";"0,43";"25,58";"74,42";"0,00";"99,57";"2,09";"5,48";"41,38";"13,77";"0,09";"1,74";"0,09";"0,15";"34,87";"0,10";"0,22";32
4;"020800";"kłodzki";"dolnośląskie";"58,15";"0,33";"30,49";"69,51";"0,00";"99,67";"2,10";"5,75";"41,06";"13,87";"0,13";"2,13";"0,10";"0,16";"34,38";"0,12";"0,20";137
3;"020900";"legnicki";"dolnośląskie";"61,32";"0,39";"28,43";"71,57";"0,00";"99,61";"1,82";"6,68";"48,72";"11,66";"0,14";"2,26";"0,09";"0,14";"28,20";"0,10";"0,18";45
2;"021000";"lubański";"dolnośląskie";"58,76";"0,39";"39,18";"60,82";"0,00";"99,61";"2,13";"5,10";"39,83";"17,55";"0,14";"1,88";"0,07";"0,17";"32,89";"0,10";"0,14";41
3;"021100";"lubiński";"dolnośląskie";"63,84";"0,27";"46,04";"53,96";"0,00";"99,73";"2,30";"7,19";"48,00";"11,68";"0,20";"1,66";"0,11";"0,14";"28,40";"0,10";"0,24";75
2;"021200";"lwówecki";"dolnośląskie";"55,86";"0,38";"31,17";"68,83";"0,00";"99,62";"2,34";"5,35";"41,64";"15,64";"0,20";"2,38";"0,17";"0,17";"31,86";"0,08";"0,14";39
1;"021300";"milicki";"dolnośląskie";"59,86";"0,24";"35,71";"64,29";"0,00";"99,76";"1,90";"5,93";"48,25";"12,36";"0,10";"2,53";"0,09";"0,11";"28,40";"0,11";"0,21";27
1;"021400";"oleśnicki";"dolnośląskie";"61,50";"0,35";"33,89";"66,11";"0,00";"99,65";"1,99";"6,49";"40,81";"16,27";"0,16";"2,14";"0,08";"0,15";"31,60";"0,12";"0,21";66
1;"021500";"oławski";"dolnośląskie";"66,32";"0,30";"28,57";"71,43";"0,00";"99,70";"2,32";"7,16";"42,27";"14,00";"0,16";"1,80";"0,12";"0,13";"31,81";"0,08";"0,16";51
3;"021600";"polkowicki";"dolnośląskie";"60,73";"0,35";"34,65";"65,35";"0,00";"99,65";"2,00";"7,41";"52,87";"12,92";"0,17";"2,13";"0,08";"0,16";"21,98";"0,08";"0,19";43
1;"021700";"strzeliński";"dolnośląskie";"61,21";"0,33";"22,54";"77,46";"0,00";"99,67";"1,77";"5,21";"50,39";"12,13";"0,16";"2,10";"0,05";"0,12";"27,69";"0,14";"0,24";39
1;"021800";"średzki";"dolnośląskie";"62,91";"0,31";"20,73";"79,27";"0,00";"99,69";"1,74";"7,93";"44,49";"11,82";"0,15";"2,28";"0,12";"0,13";"30,96";"0,12";"0,26";36
4;"021900";"świdnicki";"dolnośląskie";"61,36";"0,32";"32,77";"67,23";"0,00";"99,68";"2,22";"6,38";"40,36";"13,63";"0,14";"1,73";"0,10";"0,14";"34,95";"0,12";"0,23";107
1;"022000";"trzebnicki";"dolnośląskie";"63,68";"0,34";"27,27";"72,73";"0,00";"99,66";"2,08";"6,77";"43,58";"12,99";"0,17";"2,16";"0,08";"0,18";"31,70";"0,11";"0,20";60
4;"022100";"wałbrzyski";"dolnośląskie";"58,60";"0,33";"29,76";"70,24";"0,00";"99,67";"2,40";"5,55";"36,02";"16,22";"0,13";"1,83";"0,07";"0,16";"37,33";"0,06";"0,24";50
